,Live Spectrum 10-11-2023 10:13:32 - Spikes removed,Live Spectrum 10-11-2023 10:13:34 - Spikes removed,Live Spectrum 10-11-2023 10:13:35 - Spikes removed,Live Spectrum 10-11-2023 10:13:38 - Spikes removed,Live Spectrum 10-11-2023 10:13:38 - Spikes removed,Live Spectrum 10-11-2023 10:13:39 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,
423.4440,16.912123,17.72714,17.499161,18.036284,18.020343,17.409606,
423.7256,17.186147,17.74985,17.5,18.124549,17.440356,16.753157,
424.0071,17.279649,18.155182,17.439635,18.154115,17.439101,17.003203,
424.2887,17.182646,18.071908,17.55886,18.020329,17.542171,17.199634,
424.5703,17.066277,17.519919,17.446087,17.729226,17.806834,17.503777,
424.8518,17.117322,17.359105,17.101428,17.390895,17.693158,17.559941,
425.1334,16.99577,17.528025,17.15202,17.212299,17.373996,17.547377,
425.4149,16.683613,17.484451,16.859299,17.164024,17.047104,17.695274,
425.6965,16.756229,17.434079,17.064185,17.286918,16.773284,17.763634,
425.9781,17.380132,17.776053,17.557434,17.604342,17.062566,17.770987,
426.2596,17.626804,17.755846,17.201213,17.164117,16.888713,17.353638,
426.5412,17.89976,17.807209,17.293736,17.120909,16.79952,17.10553,
426.8228,17.875,17.991803,17.908982,17.336621,16.842683,17.038379,
427.1043,17.906059,18.250191,17.657207,17.19603,17.171779,17.140146,
427.3859,18.109141,18.055505,17.212686,16.919309,17.3111,17.408582,
427.6674,18.487447,17.718097,17.362447,17.251306,17.607609,17.490978,
427.9490,18.34032,17.630007,17.581788,17.543212,17.709106,17.439818,
428.2306,17.490669,17.658111,17.686569,17.592354,17.749069,17.457092,
428.5121,17.256751,17.395375,17.877749,17.748625,17.918499,17.64675,
428.7937,16.990396,17.489838,17.954065,17.549695,17.942581,17.607113,
429.0752,16.727881,17.796295,17.754116,17.288323,17.77122,17.287424,
429.3568,16.644504,17.841864,17.47368,17.427641,17.630873,16.987311,
429.6384,16.878164,17.589827,17.303896,17.714069,17.580465,17.207871,
429.9199,17.232511,17.652637,17.083487,17.652867,17.548624,17.697763,
430.2015,17.059129,17.351995,16.846073,17.328763,17.343226,17.920713,
430.4831,16.896991,17.127316,17.023149,17.168982,17.109954,17.892361,
430.7646,17.671875,17.609375,17.5625,17.421875,17.171875,17.703125,
431.0462,18.268497,17.589155,17.923598,17.739544,17.282399,17.449105,
431.3277,18.025131,17.284286,17.801056,17.623459,17.413116,17.041901,
431.6093,17.160603,17.315687,17.482898,17.180892,17.604011,16.694574,
431.8909,16.705397,17.397163,17.34375,17.304244,17.669603,16.660793,
432.1724,17.050922,17.288388,17.454474,18.029508,17.711612,16.761316,
432.4540,17.47132,17.535105,17.91139,18.146916,17.597944,17.173633,
432.7355,17.45686,17.660083,18.117139,17.628441,17.63689,16.976024,
433.0171,17.254398,17.705401,17.892747,17.064546,17.879552,16.497647,
433.2987,17.290703,18.038968,17.40972,16.854359,17.96875,16.519484,
433.5802,17.40728,18.166323,17.197573,16.991986,17.84169,17.271401,
433.8618,17.589459,17.895749,17.599961,17.323001,17.650999,17.789126,
434.1434,17.411653,17.581125,17.759014,17.481972,17.48257,17.786056,
434.4249,17.28974,17.773114,17.499645,17.431721,17.4375,17.476886,
434.7065,17.374365,17.665491,17.03379,18.3374,17.088319,17.165491,
434.9880,17.430044,17.831688,16.858662,18.370724,16.944956,17.165131,
435.2696,17.80207,18.003469,16.916664,17.795156,17.010414,17.284719,
435.5512,18.030307,18.105684,16.987123,17.681061,17.155307,17.337311,
435.8327,18.214384,17.719977,17.278453,17.864698,17.31407,17.394378,
436.1143,17.966064,17.495938,17.472812,17.983687,17.34375,17.483687,
436.3958,17.274892,17.652896,17.605226,17.500175,17.028071,17.447387,
436.6774,16.861487,17.794687,17.437423,17.0043,16.861563,17.35711,
436.9590,17.003479,17.676087,17.40625,17.210327,17.36212,16.552553,
437.2405,17.003485,17.739544,17.461779,16.916826,17.465265,16.770674,
437.5221,17.395391,17.778242,17.101601,16.536093,17.186328,17.207891,
437.8037,17.695943,17.637671,17.005068,16.5,17.070102,17.336148,
438.0852,17.485267,17.303961,17.058371,16.908595,17.033315,17.256194,
438.3668,16.846083,17.014393,17.210754,17.115405,17.090552,17.161048,
438.6483,16.571603,17.602243,17.369311,17.576682,17.184086,17.216474,
438.9299,16.898764,17.900125,17.558417,17.685458,17.248639,17.310458,
439.2115,17.929997,17.751137,18.027839,17.377274,17.96352,17.157387,
439.4930,17.968528,17.467198,17.936613,17.376109,18.094415,17.003326,
439.7746,17.938167,17.253334,17.805166,17.531917,18.184166,17.472084,
440.0561,17.95878,17.42065,17.460996,17.553638,18.025711,17.603953,
440.3377,17.678232,17.823313,17.248455,17.297053,17.861098,17.000357,
440.6193,17.498022,18.02334,17.22666,17.001978,17.59375,16.396362,
440.9008,17.46875,17.908656,17.367814,17.091411,17.603376,16.310161,
