,Live Spectrum 10-11-2023 10:22:00 - Spikes removed,Live Spectrum 10-11-2023 10:22:01 - Spikes removed,Live Spectrum 10-11-2023 10:22:03 - Spikes removed,Live Spectrum 10-11-2023 10:22:07 - Spikes removed,Live Spectrum 10-11-2023 10:22:10 - Spikes removed,Live Spectrum 10-11-2023 10:22:12 - Spikes removed,Live Spectrum 10-11-2023 10:22:14 - Spikes removed,Live Spectrum 10-11-2023 10:22:16 - Spikes removed,Live Spectrum 10-11-2023 10:22:18 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
390.5013,16.206309,17.488111,17.113111,16.977878,16.522122,16.262441,16.938052,16.655698,17.084069,
390.7829,16.379967,17.587211,17.108652,16.871857,16.547598,16.364939,16.84048,16.592178,17.069039,
391.0645,16.447323,17.404876,16.8125,16.450275,16.945949,16.91195,16.896224,16.4261,17.110851,
391.3460,16.841915,17.228274,16.910764,16.552976,17.135863,17.00134,17.174802,16.570189,16.901736,
391.6276,16.985365,17.109705,17.077135,16.610365,17.279271,17.339791,17.220729,16.671545,16.735365,
391.9091,16.738936,16.961374,17.257376,16.694876,17.308812,17.415421,16.992624,16.753688,16.869517,
392.1907,16.366773,16.861543,17.357207,16.848087,17.161033,17.027806,16.857207,16.86588,16.97787,
392.4723,16.332956,16.894034,17.153407,16.894034,16.884373,16.717329,16.938921,16.963353,16.80426,
392.7538,16.548138,17.068408,16.990711,16.88598,16.77027,16.858947,17.060809,16.898651,16.657941,
393.0354,16.947496,16.876754,17.033249,17.111497,16.544753,17.097748,16.964752,17.015748,17.269992,
393.3169,16.980129,16.704551,17.130673,17.127853,16.642018,17.065353,17.156217,16.93468,17.312533,
393.5985,16.86567,16.6875,17.275967,16.95009,16.86241,17.03125,17.32183,16.80317,17.027203,
393.8801,16.692807,16.788128,17.237029,16.830779,16.956564,17.03125,17.041865,16.806407,16.993907,
394.1616,16.629885,16.733404,17.086923,16.970692,17.021481,17.163077,16.494173,16.970692,17.184558,
394.4432,16.955819,16.911728,16.952227,17.137841,16.838272,17.297773,16.24084,17.220546,17.273887,
394.7248,17.546549,17.081329,16.707374,17.185016,16.870032,17.3125,16.42011,17.077405,17.28125,
395.0063,17.953244,17.243539,16.537711,16.977795,17.024789,17.342458,16.826952,17.002584,17.101503,
395.2879,16.940979,17.112234,17.091852,16.719593,17.03125,17.468328,17.248629,16.563976,16.813449,
395.5694,17.033401,17.111886,17.100204,16.822182,17.247849,17.278023,16.95369,16.594826,17.072182,
395.8510,17.098253,16.982259,17.278998,17.100505,17.185248,17.182997,16.53125,16.615994,17.352756,
396.1326,17.132296,17.183626,17.222624,17.201188,17.12203,17.145532,16.551782,16.558174,17.472172,
396.4141,16.932913,17.401663,17,17.321674,16.839163,17.3125,16.732511,17.022076,17.486239,
396.6957,16.940731,17.357759,16.971266,17.340519,16.789512,17.289512,16.801006,16.951509,17.400503,
396.9772,17.135158,17.232941,16.823046,17.166796,16.715105,17.152993,16.736197,16.861197,17.354296,
397.2588,17.104139,17.030298,16.74195,17.005195,16.796399,16.982947,16.816308,16.901055,17.232947,
397.5404,16.639722,16.974277,16.737139,16.786777,16.878721,16.871333,17.141528,17.101084,17.056973,
