,Live Spectrum 10-11-2023 10:11:28 - Spikes removed,Live Spectrum 10-11-2023 10:11:31 - Spikes removed,Live Spectrum 10-11-2023 10:11:32 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:34 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:36 - Spikes removed,Live Spectrum 10-11-2023 10:11:39 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
389.9382,33.600265,32.412765,31.534303,32.130938,31.246539,30.974688,31.342596,31.342596,30.645697,30.435193,
390.2198,34.188536,33.045802,32.697489,32.697144,32.260161,31.478221,31.8088,31.8088,31.505598,31.206442,
390.5013,35.339885,34.329101,33.615319,33.548403,33.456861,32.101774,32.581861,32.581861,32.654042,32.228431,
390.7829,36.218498,35.065643,34.049043,34.290932,34.200326,33.353054,33.210261,33.210261,33.711706,32.703722,
391.0645,37.045399,36.202618,35.180223,34.79265,35.264149,35.350622,34.191623,34.191623,35.310923,33.719922,
391.3460,37.816024,37.752184,36.457741,35.504863,35.894396,36.317859,35.114486,35.114486,36.214585,34.920637,
391.6276,38.839131,38.360365,37.884357,36.759357,36.852447,37.044566,36.303922,36.303922,37.335172,35.796545,
391.9091,40.320069,39.404599,39.428522,38.617914,38.163771,38.099427,37.843943,37.843943,38.262956,36.656395,
392.1907,41.935714,40.69528,40.780357,40.64056,39.333737,39.649234,39.21741,39.21741,38.754337,37.975637,
392.4723,43.816207,42.041487,41.787223,42.209953,40.85683,40.967905,40.718193,40.718193,39.828134,39.415066,
392.7538,45.450151,43.277013,42.434118,43.048138,42.133434,41.043086,41.601349,41.601349,41.128361,39.778724,
393.0354,46.134996,44.615986,43.553486,43.1465,43.342487,42.725975,42.946233,42.946233,41.855745,41.043981,
393.3169,46.508493,45.457338,44.258493,43.542563,43.713077,43.843717,44.144805,44.144805,43.008394,42.187434,
393.5985,47.695147,46.814864,45.39726,44.836783,44.74101,45.398048,45.691887,45.691887,45.027095,43.787661,
393.8801,48.484078,47.388757,46.070949,45.665485,45.792056,46.221107,46.521421,46.521421,45.657036,44.39485,
394.1616,49.701096,48.861231,47.738173,48.12777,47.313385,47.472577,47.864173,47.864173,46.557558,45.940327,
394.4432,49.933818,49.786638,48.527479,49.417116,47.755478,47.990751,48.920798,48.920798,47.242547,46.329023,
394.7248,51.001833,50.306486,50.549821,50.394223,48.557925,48.77916,49.664097,49.664097,48.376833,47.436849,
395.0063,51.183624,49.804509,51.198076,49.989424,49.194199,49.113371,49.658834,49.658834,48.588581,47.381461,
395.2879,52.464427,50.902454,52.620256,52.117725,50.589111,49.405301,50.933177,50.933177,48.967485,49.056807,
395.5694,52.738113,51.723,52.619621,52.185295,50.498871,50.452507,50.895439,50.895439,50.163727,49.263931,
395.8510,53.265489,52.691731,52.455241,52.984239,51.404542,51.738742,51.500272,51.500272,51.247748,50.583036,
396.1326,53.106986,52.449832,52.377066,52.907864,52.348334,51.720364,51.933626,51.933626,51.283768,51.308174,
396.4141,53.487098,53.34461,53.211295,53.965023,53.628727,52.823394,52.087443,52.087443,51.78039,51.671159,
396.6957,53.85236,53.651935,53.571478,54.268672,53.554953,53.34195,51.76221,51.76221,51.6857,51.151935,
396.9772,55.034507,54.090881,53.660282,54.926954,53.965105,53.625776,52.176566,52.176566,52.017835,51.804823,
397.2588,55.373613,53.653394,53.303498,54.911445,54.151055,53.284106,52.613659,52.613659,51.967363,52.242901,
397.5404,55.696587,53.356611,53.279443,54.536724,54.332695,53.433779,53.040444,53.040444,52.520195,52.340083,
397.8219,54.989416,53.229837,53.551664,54.022676,54.032255,52.959674,52.897174,52.897174,52.323084,52.271922,
398.1035,54.710198,53.223026,53.484258,53.436372,53.712453,52.625,52.195583,52.195583,52.212453,51.885338,
398.3851,53.728049,53.311088,52.910429,52.941679,53.304085,52.637594,51.663253,51.663253,52.131532,51.611935,
398.6666,53.066316,52.962666,52.390265,52.325497,52.61438,52.601383,52.045687,52.045687,52.064048,51.596018,
398.9482,52.037351,52.489308,52.160994,52.032831,52.132907,51.98238,52.195407,52.195407,51.757907,51.61491,
399.2297,51.128858,51.823302,52.046553,51.95216,51.889017,50.880657,51.425282,51.425282,51.450231,51.069444,
399.5113,50.425718,51.150359,51.519645,51.292324,51.556697,50.372143,50.349198,50.349198,51.039644,50.553929,
399.7929,49.905363,50.490766,51.257147,50.527077,51.234819,50.144042,49.864879,49.864879,50.703569,50.577681,
400.0744,49.850731,49.722949,50.585678,49.650687,50.443935,49.614965,49.100185,49.100185,50.008944,49.67441,
400.3560,49.210173,48.886766,49.239341,48.730516,49.532109,49.069854,48.086644,48.086644,49.340197,48.167405,
400.6375,48.723208,47.660687,47.4955,47.654442,47.781208,48.413379,47.116946,47.116946,48.351762,46.766046,
400.9191,48.67002,46.768549,47.221391,47.19121,46.688569,47.872359,46.632419,46.632419,47.428508,46.47881,
401.2007,47.154423,45.839005,46.730519,46.189232,45.752919,46.499953,45.642654,45.642654,46.275318,45.776505,
401.4822,45.226183,45.396499,46.013467,45.159966,45.524656,45.773218,44.776654,44.776654,45.820812,44.742247,
401.7638,44.380759,44.314882,44.794688,44.274264,44.32233,43.964146,43.055976,43.055976,43.877844,43.965372,
402.0453,43.71883,43.477766,44.267899,43.482234,43.633989,43.192021,43.254388,43.254388,43.46875,43.763404,
402.3269,41.982618,41.482085,42.826901,41.816129,41.836607,41.037226,42.369456,42.369456,41.965553,42.942727,
402.6085,41.232399,40.527827,41.471887,41.451679,41.307244,39.799095,41.094524,41.094524,41.059077,42.208238,
402.8900,39.810642,39.06196,39.339645,40.120505,39.724802,38.850731,39.263962,39.263962,39.862596,40.629734,
403.1716,39.130573,38.721258,39.219029,39.226273,39.563336,38.967357,39.1875,39.1875,39.781529,39.943073,
403.4532,38.176919,37.932965,37.778983,38.153983,37.919361,37.878286,38.362907,38.362907,39.058721,39.155494,
403.7347,37.708943,37.694662,37.717846,37.951825,37.146443,36.796412,37.785746,37.785746,38.859838,39.010755,
404.0163,37.017204,36.78125,38.235606,36.130619,36.465941,37.556881,36.334974,36.334974,38.088131,37.082861,
404.2978,36.752492,36.647257,38.211003,36.122418,36.360933,37.385149,36.489761,36.489761,37.904914,36.529914,
404.5794,35.942794,35.653603,36.633331,35.63688,35.735022,36.494706,35.930011,35.930011,36.888625,35.542679,
404.8610,36.049189,35.316615,35.410493,35.484439,35.066743,35.855838,35.496399,35.496399,36.06475,35.00598,
