,Live Spectrum 10-11-2023 10:08:46 - Spikes removed,Live Spectrum 10-11-2023 10:08:50 - Spikes removed,Live Spectrum 10-11-2023 10:08:51 - Spikes removed,Live Spectrum 10-11-2023 10:08:52 - Spikes removed,Live Spectrum 10-11-2023 10:08:54 - Spikes removed,Live Spectrum 10-11-2023 10:08:55 - Spikes removed,Live Spectrum 10-11-2023 10:08:56 - Spikes removed,Live Spectrum 10-11-2023 10:08:57 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
429.3568,17.375943,18.210991,18.287123,17.611368,18.424811,18.382759,18.144504,17.719693,
429.6384,17.482035,18.075785,18.196862,17.460146,18.499242,18.517965,18.178896,17.865638,
429.9199,17.597133,18.107626,18.027867,17.392374,18.597248,18.430619,18.152752,18.006881,
430.2015,17.603043,17.980366,17.732689,17.302683,18.143062,18.560701,18.23089,17.818946,
430.4831,17.543982,17.797454,17.741899,17.21875,17.806713,18.64699,18.160879,17.469907,
430.7646,17.640625,17.9375,18.109375,17.375,18.0625,18.265625,17.953125,17.453125,
431.0462,17.688649,18.207145,18.298598,17.628446,18.140051,17.981503,17.875,17.420152,
431.3277,17.634903,18.278961,18.209595,17.802597,18.242386,17.839172,17.908539,17.341461,
431.6093,17.510494,18.21533,17.937733,17.805659,18.291744,17.833256,17.9375,17.295165,
431.8909,17.558234,17.865359,17.651429,17.624723,18.160516,17.82131,17.615359,17.352837,
432.1724,17.643454,17.53273,17.365164,17.43898,18.056842,17.670526,17.172006,17.424704,
432.4540,17.884334,17.354708,17.211986,17.394007,18.468411,17.631764,17.22132,17.665584,
432.7355,17.913916,17.457252,17.246167,17.367139,18.671777,17.617139,17.421973,17.597387,
433.0171,17.662848,17.622801,17.462152,17.36385,18.243095,17.633951,17.589352,17.388349,
433.2987,17.500578,17.635609,17.500578,17.333719,17.762923,17.573688,17.553047,17.73592,
433.5802,17.46875,17.582647,17.40522,17.291323,17.434411,17.53125,17.521177,18.06456,
433.8618,17.685834,17.410541,17.418417,17.498334,17.387167,17.53125,17.509542,17.907916,
434.1434,17.870194,17.365986,17.32632,17.504806,17.561903,17.442306,17.633417,17.456723,
434.4249,17.974529,17.557076,17.463326,17.537029,17.761557,17.38349,17.801298,17.380779,
434.7065,17.743934,17.904345,17.461414,17.213319,17.230531,17.514673,17.704077,17.289856,
434.9880,17.513487,17.833443,17.413706,17.069956,17.197807,17.586294,17.608662,17.345175,
435.2696,17.225703,17.611117,17.40625,17.013891,17.565961,17.520836,17.326398,17.447914,
435.5512,17.181061,17.5625,17.331816,17.124057,17.681061,17.549623,17.225189,17.567996,
435.8327,17.263442,17.613128,17.236558,17.333448,17.535616,17.284047,17.21875,17.543122,
436.1143,17.436124,17.857311,17.167125,17.323375,17.551625,17.063876,17.270375,17.53125,
436.3958,17.54767,17.90625,17.261476,17.128354,17.536193,17.11017,17.28125,17.373411,
436.6774,17.64289,17.98664,17.52242,16.959767,17.665233,17.098203,17.334843,17.316953,
436.9590,17.24701,17.836304,17.507935,17.019348,17.523804,17.066467,17.534729,17.503479,
437.2405,17.243029,17.618148,17.583294,17.003485,17.555529,17.229087,17.368148,17.22584,
437.5221,17.391211,17.33957,17.932657,17.028242,17.590742,17.645391,17.117812,16.989804,
437.8037,17.291387,17.341216,17.853887,17.146113,17.565034,17.802363,17.266045,17.054898,
