,Live Spectrum 26-10-2023 13:32:31,Live Spectrum 26-10-2023 13:32:39,Live Spectrum 26-10-2023 13:32:39,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:45,Live Spectrum 26-10-2023 13:32:45,Live Spectrum 26-10-2023 13:32:45,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
375.0155,17,16.625,16.691179,16.318628,16.318628,16.729781,16.729781,16.75,16.75,16.75,17.063112,17.063112,16.724878,16.724878,16.724878,16.618872,16.618872,16.618872,16.21875,16.21875,16.84375,16.84375,16.84375,16.862133,16.862133,17.231617,17.231617,17.231617,16.563112,
375.2970,16.866423,16.705146,16.696077,16.526224,16.526224,16.495957,16.495957,16.910293,16.910293,16.910293,17.147181,17.147181,16.585173,16.585173,16.585173,16.812008,16.812008,16.812008,16.806491,16.806491,16.817035,16.817035,16.817035,16.923896,16.923896,16.849268,16.849268,16.849268,16.860905,
375.5786,16.872052,16.662145,17.398009,16.647407,16.647407,16.440448,16.440448,16.82429,16.82429,16.82429,17.15625,17.15625,16.109661,16.109661,16.109661,16.84375,16.84375,16.84375,16.991157,16.991157,16.69929,16.69929,16.69929,16.795988,16.795988,16.611435,16.611435,16.611435,17.01946,
375.8601,16.456633,17.044734,16.632015,16.955084,16.955084,16.646684,16.646684,16.663083,16.663083,16.663083,16.827533,16.827533,16.660168,16.660168,16.660168,16.694333,16.694333,16.694333,16.790816,16.790816,16.299016,16.299016,16.299016,16.392766,16.392766,17.071884,17.071884,17.071884,16.612883,
376.1417,16.376458,17.217709,16.688333,16.814582,16.814582,16.907291,16.907291,16.781042,16.781042,16.781042,16.562916,16.562916,16.875208,16.875208,16.875208,16.533124,16.533124,16.533124,16.906666,16.906666,16.719791,16.719791,16.719791,16.562916,16.562916,16.904792,16.904792,16.904792,16.594375,
376.4233,16.602634,17.055393,16.830268,17.128554,17.128554,17.069607,17.069607,16.75533,16.75533,16.75533,16.656983,16.656983,16.899143,16.899143,16.899143,16.808946,16.808946,16.808946,16.972304,16.972304,16.883884,16.883884,16.883884,16.633884,16.633884,16.685723,16.685723,16.685723,16.6875,
376.7048,16.746661,16.927482,17.121661,17.197518,17.197518,17.164124,17.164124,16.850429,16.850429,16.850429,17.1875,17.1875,16.687747,16.687747,16.687747,16.75,16.75,16.75,17.024571,17.024571,17.014553,17.014553,17.014553,16.757874,16.757874,16.676286,16.676286,16.676286,16.690839,
376.9864,16.723646,16.81927,17.098646,17.276354,17.276354,16.94427,16.94427,16.886666,16.886666,16.886666,17.13854,17.13854,15.90625,15.90625,15.90625,16.740208,16.740208,16.740208,16.958958,16.958958,16.82604,16.82604,16.82604,16.5625,16.5625,16.873126,16.873126,16.873126,16.708958,
377.2679,16.73066,16.603695,17.118553,17.211321,17.211321,16.722249,16.722249,16.736124,16.736124,16.736124,16.836321,16.836321,15.92559,15.92559,15.92559,16.732626,16.732626,16.732626,16.841785,16.841785,16.58184,16.58184,16.58184,16.510928,16.510928,16.992571,16.992571,16.992571,16.649803,
377.5495,16.624286,16.313214,17.109732,16.998571,16.998571,16.382991,16.382991,16.5625,16.5625,16.5625,16.719464,16.719464,16.047947,16.047947,16.047947,16.898259,16.898259,16.898259,16.561786,16.561786,16.640268,16.640268,16.640268,16.304509,16.304509,16.875714,16.875714,16.875714,16.664956,
377.8311,16.85526,16.41578,17.080012,16.879208,16.879208,16.577785,16.577785,16.505322,16.505322,16.505322,16.8125,16.8125,16.19703,16.19703,16.19703,16.932178,16.932178,16.932178,16.687933,16.687933,16.555631,16.555631,16.555631,16.557612,16.557612,16.882983,16.882983,16.882983,16.724072,
378.1126,17.449939,16.448562,16.806689,17.020188,17.020188,16.946625,16.946625,16.496686,16.496686,16.496686,16.878874,16.878874,16.40681,16.40681,16.40681,17.073562,17.073562,17.073562,17.264936,17.264936,16.457688,16.457688,16.457688,17.110064,17.110064,16.764936,16.764936,16.764936,16.582688,
378.3942,16.986076,16.393216,16.625,16.924466,16.924466,16.855894,16.855894,16.84464,16.84464,16.84464,17.025178,17.025178,16.913657,16.913657,16.913657,17.131517,17.131517,17.131517,17.418839,17.418839,16.538212,16.538212,16.538212,16.880627,16.880627,16.994373,16.994373,16.994373,16.524733,
378.6758,16.645171,16.210701,16.568561,16.756061,16.756061,16.823579,16.823579,17.144128,17.144128,17.144128,17.020171,17.020171,17.15625,17.15625,17.15625,17.145171,17.145171,17.145171,17.254073,17.254073,16.6875,16.6875,16.6875,16.77822,16.77822,17.195549,17.195549,17.195549,16.45464,
378.9573,16.718746,16.125,16.546874,16.671875,16.671875,16.765628,16.765628,17.265625,17.265625,17.265625,17.015624,17.015624,17.046878,17.046878,17.046878,17.062501,17.062501,17.062501,16.812506,16.812506,16.718749,16.718749,16.718749,17.015619,17.015619,17.250001,17.250001,17.250001,16.718742,
379.2389,16.980817,16.210667,16.628017,16.673383,16.673383,16.502049,16.502049,17.027265,17.027265,17.027265,16.891166,16.891166,16.9375,16.9375,16.9375,17.065517,17.065517,17.065517,16.59375,16.59375,16.75,16.75,16.75,17.133083,17.133083,17.133083,17.133083,17.133083,16.9486,
