,Live Spectrum 26-10-2023 13:44:50,Live Spectrum 26-10-2023 13:45:29,Live Spectrum 26-10-2023 13:45:59,Live Spectrum 26-10-2023 13:46:43,Live Spectrum 26-10-2023 13:47:13,Live Spectrum 26-10-2023 13:48:13,Live Spectrum 26-10-2023 13:49:37,Live Spectrum 26-10-2023 13:50:32,Live Spectrum 26-10-2023 13:51:07,Live Spectrum 26-10-2023 13:51:27,Live Spectrum 26-10-2023 13:52:16,Live Spectrum 26-10-2023 13:52:46,Live Spectrum 26-10-2023 13:52:55,Live Spectrum 26-10-2023 13:52:56,Live Spectrum 26-10-2023 13:52:57,Live Spectrum 26-10-2023 13:52:58,Live Spectrum 26-10-2023 13:52:59,Live Spectrum 26-10-2023 13:54:50,Live Spectrum 26-10-2023 13:55:15,Live Spectrum 26-10-2023 13:55:21,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
381.4914,19.939758,19.26093,16.743227,16.828304,16.5,24.886647,16.469109,16.024835,17.084719,17.517703,16.971008,17.160407,17.451047,16.455562,16.981938,17.153992,17.017703,16.528992,16.39532,17.147578,
381.7729,20.668257,19.677077,16.719552,16.416673,16.83493,24.447923,16.133018,15.939104,17.42868,17.683491,17.212336,17.157052,17.376604,16.193914,17.243586,17.034457,17.000802,16.470354,16.405448,17.064104,
382.0545,21.253241,19.773985,16.568983,16.080003,17.278009,24.653009,16.014262,16.048753,17.841291,17.519581,17.473421,16.824817,17.357497,16.521526,17.37111,16.935555,16.763613,16.322224,16.383427,17.223288,
382.3360,21.404158,20.868588,16.845707,16.889511,17.106169,24.468615,16.672854,16.879185,16.264646,16.962473,16.225027,17.393696,16.545896,16.083423,17.183315,16.854212,17.37905,16.766604,16.777065,17.424946,
382.6176,21.445612,20.319036,16.426908,16.680964,16.822566,24.006536,16.482872,16.944561,16.528771,16.864408,16.3125,17.201097,16.785306,16.417367,17.139122,17,16.992939,16.544847,16.725811,17.232347,
382.8992,22.104225,20.18952,16.358639,16.835295,16.671139,23.797611,16.603676,16.990074,17.014889,16.78125,16.347242,17.072426,17.082352,16.769852,17.235111,16.955332,16.947426,16.450918,16.801102,17.138418,
383.1807,22.784046,20.633487,16.558906,16.656949,16.781949,23.70597,16.681809,16.886382,17.151258,16.819589,16.582368,17.156949,17.206669,16.900559,17.117911,16.795428,16.99361,16.751398,16.848742,17.477237,
383.4623,23.257818,21.046871,17.078114,16.773439,16.953114,23.570332,16.757818,16.726554,17.328136,16.96875,16.750007,17.210954,17.273439,16.953136,16.976561,17.210911,17.023425,17.007811,16.585946,17.835946,
383.7439,23.445824,21.287493,17.10804,16.796129,17.102976,22.980369,16.659822,16.84375,17.169048,17.005653,16.665476,16.972322,17.166967,16.8125,17,17.580952,17.141371,16.948217,16.330362,17.534233,
384.0254,24.211394,21.792541,16.737397,16.948791,17.146271,22.017336,16.551209,16.886291,17.082459,17.029938,16.6875,16.821168,17.011291,16.823135,16.968094,17.465471,16.978074,16.643647,15.925553,16.966127,
384.3070,24.644467,22.224128,16.663678,17.091445,17.151383,21.988473,16.203894,16.740011,17.024078,17.026639,16.4708,16.909067,17.153945,16.976178,16.978483,16.867316,16.814805,16.557889,15.913678,16.887295,
