,Live Spectrum 26-10-2023 13:40:57,Live Spectrum 26-10-2023 13:40:58,Live Spectrum 26-10-2023 13:40:59,Live Spectrum 26-10-2023 13:41:01,Live Spectrum 26-10-2023 13:41:02,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:04,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:06,Live Spectrum 26-10-2023 13:41:07,Live Spectrum 26-10-2023 13:41:08,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:11,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
378.1126,17.220687,17.354812,18.018251,17.929752,17.850938,16.623623,17.948562,17.134685,17.084625,17.930312,17.277376,18.612818,16.819688,17.860623,17.141314,17.141314,17.141314,17.185563,17.185563,18.137439,18.137439,18.137439,17.699939,17.699939,
378.3942,17.319017,17.375,17.975267,17.662322,17.636699,17.019551,17.956161,17.70187,17.175356,18.006072,17.181428,17.64188,16.743928,18.0625,16.962233,16.962233,16.962233,17.087233,17.087233,17.849822,17.849822,17.849822,17.236076,17.236076,
378.6758,17.459659,17.459659,17.988921,17.59678,17.525189,17.060512,17.866951,18.009091,17.348768,17.771213,17.430396,17.348768,16.837689,18.020171,16.89214,16.89214,16.89214,16.974811,16.974811,17.756061,17.756061,17.756061,16.993939,16.993939,
378.9573,17.624998,17.375005,17.921875,17.609374,17.578125,16.921875,17.703127,17.718755,17.687494,17.390629,17.890619,17.703118,17.140618,17.781255,17.031246,17.031246,17.031246,17.031246,17.031246,17.921868,17.921868,17.921868,17.203121,17.203121,
379.2389,17.618966,17.256034,17.871983,17.639117,17.493966,17.194501,17.744934,17.359916,17.991917,17.369934,18.09375,17.971767,17.4264,17.59375,17.273167,17.273167,17.273167,17.15625,17.15625,18.224784,18.224784,18.224784,17.429417,17.429417,
379.5204,17.469318,17.144773,17.787841,17.531818,17.325682,17.480796,18.04875,17.349205,17.969318,17.543296,17.776931,18.074546,17.338295,17.780114,17.474205,17.474205,17.474205,17.137614,17.137614,18.262614,18.262614,18.262614,17.593182,17.593182,
379.8020,17.245183,16.870183,17.8104,17.227149,17.1896,17.59165,18.368701,17.638834,17.805583,17.452816,17.159831,18.245801,17.209733,18.127718,17.643034,17.643034,17.643034,17.0646,17.0646,18.088933,18.088933,18.088933,17.736784,17.736784,
380.0836,17.026502,16.910998,17.411258,17.439743,17.523868,17.300631,17.841637,17.858123,17.598628,17.418249,17.305118,18.096254,16.971254,17.925631,17.92537,17.92537,17.92537,17.290745,17.290745,17.524259,17.524259,17.524259,17.327134,17.327134,
380.3651,17.199849,17.01497,17.24186,17.385761,17.387072,17.040701,17.793599,18.068019,17.50814,17.41439,17.607409,17.537803,16.620792,17.71192,18.07747,18.07747,18.07747,17.105822,17.105822,17.104511,17.104511,17.104511,17.032561,17.032561,
380.6467,17.182893,17.080428,17.077875,17.042018,17.28125,17.245892,18.120892,17.903697,17.647535,17.332482,17.852964,17.006161,16.408304,17.195715,17.921625,17.921625,17.921625,16.975411,16.975411,17.203375,17.203375,17.203375,16.926232,16.926232,
