,Live Spectrum 26-10-2023 13:34:48,Live Spectrum 26-10-2023 13:34:50,Live Spectrum 26-10-2023 13:34:51,Live Spectrum 26-10-2023 13:34:51,Live Spectrum 26-10-2023 13:34:51,Live Spectrum 26-10-2023 13:34:52,Live Spectrum 26-10-2023 13:34:52,Live Spectrum 26-10-2023 13:34:53,Live Spectrum 26-10-2023 13:34:53,Live Spectrum 26-10-2023 13:34:54,Live Spectrum 26-10-2023 13:34:54,Live Spectrum 26-10-2023 13:34:55,Live Spectrum 26-10-2023 13:34:55,Live Spectrum 26-10-2023 13:34:56,Live Spectrum 26-10-2023 13:34:56,Live Spectrum 26-10-2023 13:34:56,Live Spectrum 26-10-2023 13:34:57,Live Spectrum 26-10-2023 13:34:57,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
384.8701,17.172671,16.703921,16.50796,16.899882,16.792895,16.792895,16.47671,16.768013,17.044487,16.360171,16.360171,16.419487,16.677447,16.291303,16.608579,16.641421,16.641421,17.016421,
385.1517,17.075173,16.622638,16.376181,17.128543,16.810138,16.810138,16.3125,16.783612,16.996457,16.359965,16.359965,16.501181,16.611146,16.471112,16.819585,16.576354,16.576354,16.82163,
385.4332,16.912019,16.597692,16.54702,16.972403,16.574038,16.574038,16.224519,16.597403,16.501537,16.51577,16.51577,16.795193,16.673846,16.566442,17.14077,16.496058,16.496058,16.585865,
385.7148,16.786836,16.738828,16.65625,16.705365,16.323672,16.323672,16.232135,16.482135,16.054701,16.662943,16.662943,17.094856,16.877213,16.555807,17.231029,16.487721,16.487721,16.493307,
385.9963,16.729659,16.751478,16.574888,16.65625,16.433066,16.433066,16.240569,16.571931,16.111134,16.646819,16.646819,17.196931,16.938978,16.429547,17.056025,16.418638,16.418638,16.590794,
386.2779,16.610229,16.71875,16.335911,16.677954,16.661476,16.661476,16.153637,16.658863,16.317726,16.559887,16.559887,17.240454,16.732616,16.353296,16.66489,16.309887,16.309887,16.851589,
386.5595,17.16212,16.395878,16.388374,17.033435,16.395878,16.395878,16.563184,16.98731,16.398062,16.415938,16.415938,17.319187,16.633188,16.113127,16.923309,16.534935,16.534935,16.407067,
386.8410,17.155268,16.159177,16.657232,17.15625,16.476567,16.476567,16.621091,17.044921,16.284177,16.521488,16.521488,17.416994,16.527341,16.080079,16.989256,16.771488,16.771488,16.21875,
387.1226,16.861898,16.305329,16.821795,17.285057,16.737341,16.737341,16.567989,16.928205,16.430329,17.000443,17.000443,17.257171,16.525761,16.377125,16.891466,16.915545,16.915545,16.347557,
387.4042,16.975114,16.668979,16.518521,17.3125,16.88966,16.88966,16.481193,17.041762,16.739774,17.012443,17.012443,17.083238,16.449943,16.654319,16.76659,16.747783,16.747783,16.510512,
387.6857,17.113751,17.173755,16.155934,17.113435,16.849374,16.849374,16.610939,16.80656,16.553747,16.772497,16.772497,17.034062,16.835629,16.829689,16.693124,16.775626,16.775626,16.474374,
387.9673,17.303606,17.069912,16.035697,17.063982,16.665144,16.665144,16.595232,16.811018,16.41218,16.690465,16.690465,17.03125,16.875,16.873518,16.657732,16.930088,16.930088,16.438982,
388.2488,17.157041,16.875949,16.342168,16.502848,16.531883,16.531883,16.562658,16.47049,16.281883,16.718592,16.718592,17.155617,17.092643,16.688449,16.718434,17.092959,17.092959,16.002215,
388.5304,16.923653,16.744199,16.659731,16.380876,16.6875,16.6875,16.525449,16.121594,16.50232,17.034731,17.034731,17.138922,17.190981,16.732672,16.753481,16.424813,16.424813,15.9375,
388.8120,17.360162,16.608588,16.752473,17.323966,16.692446,16.692446,16.372527,16.84375,16.572392,17.127473,17.127473,17.495054,17.258993,17.073966,16.846223,16.93098,16.93098,15.947392,
389.0935,17.172379,16.79259,16.78503,17.044608,16.73866,16.73866,16.33619,16.824849,16.729082,17.114668,17.114668,17.395918,16.981099,16.821069,16.890121,17.21875,17.21875,16.111642,
389.3751,17.067582,16.900409,16.837909,16.65701,16.651168,16.651168,16.245678,16.662091,17.036332,16.8125,16.8125,17.037851,16.828505,16.600351,16.994918,17.183178,17.183178,16.46875,
389.6566,17.055483,16.999361,16.994261,16.551022,16.618622,16.618622,16.017855,16.537628,17.024233,16.780611,16.780611,16.781889,16.718111,16.299744,16.96875,16.980867,16.980867,16.430483,
389.9382,16.921587,16.805985,17.078413,16.788341,16.563077,16.563077,15.882091,16.585505,16.867332,16.663918,16.663918,17.021274,16.59375,16.311346,16.953413,16.959928,16.959928,16.250577,
390.2198,16.915031,16.575844,16.968577,16.915203,16.397124,16.397124,16.053719,16.692063,16.781077,16.71436,16.71436,17.294421,16.584797,16.580579,16.888344,17.080234,17.080234,16.192063,
390.5013,16.719854,16.572181,16.8125,16.917035,16.147122,16.147122,16.228431,16.842646,16.665931,16.760785,16.760785,16.878865,16.572733,16.842646,16.84375,16.866424,16.866424,16.301715,
390.7829,16.478685,16.518172,16.8125,16.944039,16.402728,16.402728,16.473591,16.784646,16.71548,16.569165,16.569165,16.40298,16.62827,16.796152,16.958815,16.794328,16.794328,16.067594,
391.0645,16.3068,16.357899,16.940249,17.075275,17.04265,17.04265,16.8011,16.455975,16.669025,16.376374,16.376374,16.3693,16.559751,16.4489,17.143475,17.018475,17.018475,15.64485,
391.3460,16.498165,16.665278,17.167113,17.177976,16.940675,16.940675,16.903075,16.409425,16.785764,16.510863,16.510863,16.420288,16.220585,16.360962,16.99866,17,17,15.999505,
391.6276,16.779271,16.84507,16.943438,17.235365,16.84507,16.84507,16.845729,16.298525,16.921545,16.654271,16.654271,16.575156,16.107725,16.420225,16.81316,16.923525,16.923525,16.420225,
391.9091,16.891547,16.863985,16.573515,17.055124,16.847438,16.847438,16.634171,16.334579,16.788577,16.91547,16.91547,16.685656,16.137859,16.764751,16.748156,16.860297,16.860297,16.483453,
392.1907,16.924043,16.866327,16.60676,16.88412,16.95963,16.95963,16.655803,16.49088,16.674043,17.044707,17.044707,16.691837,16.289477,16.982207,16.754337,16.946173,16.946173,16.433163,
392.4723,17.013637,16.869603,16.763637,16.881819,17.114206,17.114206,16.864206,16.911935,16.592329,16.840907,16.840907,16.832956,16.361363,16.930681,16.971593,17.057103,17.057103,16.387216,
392.7538,17.04223,16.946789,16.731421,16.946789,17.329388,17.329388,17.059118,17.237329,16.53125,16.657941,16.657941,16.88598,16.251691,16.784632,17.195099,17.195099,17.195099,16.516888,
393.0354,17.181748,17.011749,16.880997,16.94725,17.191253,17.191253,16.759505,16.937255,16.574249,16.431503,16.431503,16.681503,16.670244,17.127245,17.142501,17.464997,17.464997,16.679749,
393.3169,17.000033,17.213044,16.900577,17.073846,17.025577,17.025577,16.525577,16.963044,16.684647,16.457371,16.457371,16.707371,16.829551,17.130706,17.116474,17.312533,17.312533,16.764199,
393.5985,16.355552,17.233363,16.755283,17.19683,16.832396,16.832396,16.35634,17.079137,16.766637,16.5,16.5,16.845774,16.716726,16.775179,16.813736,16.644108,16.644108,16.78125,
393.8801,16.036557,16.942022,16.693593,17.067807,16.529679,16.529679,16.3125,17.018279,16.756093,16.374214,16.374214,16.950471,16.737814,16.6875,16.442022,16.317807,16.317807,16.680622,
394.1616,16.263654,16.901365,16.476577,16.767596,16.653308,16.653308,16.233404,16.499058,16.670904,16.080096,16.080096,16.731461,16.565442,16.661135,15.900423,16.360346,16.360346,16.550788,
394.4432,16.450341,17.07166,16.575341,16.88416,16.770205,16.770205,16.301455,16.295977,16.435704,15.976113,15.976113,16.577227,16.69666,16.628682,15.950341,16.650683,16.650683,16.476113,
394.7248,16.353687,16.777327,16.651282,17.078845,16.867547,16.867547,16.51386,16.223718,16.492547,15.853687,15.853687,16.533734,16.51739,16.567468,16.285173,16.6875,16.6875,16.439984,
395.0063,16.164003,16.510337,16.746124,17.09375,16.785126,16.785126,16.53125,16.368539,16.320253,15.963581,15.963581,16.561208,16.589874,16.322837,16.701952,16.627584,16.627584,16.497416,
