,Live Spectrum 26-10-2023 13:31:25,Live Spectrum 26-10-2023 13:31:27,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
379.2389,16.6986,16.971767,16.971767,16.892133,16.5514,16.5514,16.66735,16.66735,17.1361,17.1361,17.1361,16.7611,16.7611,16.7611,16.982867,17.29235,17.29235,17.29235,16.804417,16.804417,16.804417,
379.5204,16.749432,17.130455,17.130455,16.887614,16.836023,16.836023,16.680909,16.680909,17.075114,17.075114,17.075114,16.71875,16.71875,16.71875,17.061932,17.138182,17.138182,17.138182,16.930909,16.930909,16.930909,
379.8020,16.933301,17.299284,17.299284,16.834733,17.0604,17.0604,16.77915,16.77915,17.102767,17.102767,17.102767,16.799284,16.799284,16.799284,17.165267,16.901433,16.901433,16.901433,16.988883,16.988883,16.988883,
380.0836,17.064874,17.170753,17.170753,16.769251,17.028876,17.028876,16.704377,16.704377,17.341246,17.341246,17.341246,16.930248,16.930248,16.930248,16.992879,17.007121,17.007121,17.007121,17.129748,17.129748,17.129748,
380.3651,17.255519,17.07064,17.07064,16.911769,16.907561,16.907561,16.818019,16.818019,17.067742,17.067742,17.067742,16.89942,16.89942,16.89942,16.998689,17.02442,17.02442,17.02442,17.14128,17.14128,17.14128,
380.6467,17.263322,17.037911,17.037911,16.722858,16.776643,16.776643,16.973357,16.973357,16.593251,16.593251,16.593251,16.948768,16.948768,16.948768,16.957482,16.901643,16.901643,16.901643,17.346303,17.346303,17.346303,
380.9282,17.119686,16.900936,16.900936,16.343497,16.75,16.75,16.869686,16.869686,16.708502,16.708502,16.708502,17.020876,17.020876,17.020876,16.911437,16.848937,16.848937,16.848937,17.354124,17.354124,17.354124,
381.2098,16.983628,16.875,16.875,15.978415,16.75,16.75,16.568446,16.568446,17.107896,17.107896,17.107896,16.948659,16.948659,16.948659,16.713537,17.036463,17.036463,17.036463,17.178567,17.178567,17.178567,
381.4914,16.96875,16.932984,16.932984,16.024477,16.75,16.75,16.415281,16.415281,17.446172,17.446172,17.446172,16.9375,16.9375,16.9375,16.571531,17.149477,17.149477,17.149477,17.15625,17.15625,17.15625,
381.7729,16.846957,17.120189,17.120189,16.54887,16.41507,16.41507,16.528043,16.528043,17.194716,17.194716,17.194716,16.633018,16.633018,16.633018,16.5625,17.308491,17.308491,17.308491,17.278043,17.278043,17.278043,
382.0545,16.949951,17.334026,17.334026,16.874352,16.416622,16.416622,16.709674,16.709674,16.998703,16.998703,16.998703,16.505186,16.505186,16.505186,16.749352,17.400416,17.400416,17.400416,17.359442,17.359442,17.359442,
382.3360,16.081331,16.864538,16.864538,16.831196,16.899973,16.899973,16.291712,16.291712,16.941685,16.941685,16.941685,16.745815,16.745815,16.745815,16.71875,17.114538,17.114538,17.114538,16.635462,16.635462,16.635462,
382.6176,16.382587,16.708158,16.708158,16.652719,16.816031,16.816031,16.465745,16.465745,17.021184,17.021184,17.021184,16.691031,16.691031,16.691031,16.743464,16.951097,16.951097,16.951097,16.78125,16.78125,16.78125,
382.8992,16.682537,16.639889,16.639889,16.644852,16.789156,16.789156,16.667648,16.667648,17.1875,17.1875,17.1875,16.693934,16.693934,16.693934,16.947426,16.792648,16.792648,16.792648,16.791176,16.791176,16.791176,
383.1807,16.66903,16.769868,16.769868,16.76278,16.519169,16.519169,16.594449,16.594449,17.225839,17.225839,17.225839,16.588059,16.588059,16.588059,16.974441,16.629992,16.629992,16.629992,16.882089,16.882089,16.882089,
383.4623,16.742182,17.015614,17.015614,16.890607,16.648425,16.648425,16.703129,16.703129,17.382811,17.382811,17.382811,16.679689,16.679689,16.679689,16.820325,16.460925,16.460925,16.460925,17.007818,17.007818,17.007818,
383.7439,16.886307,17.100895,17.100895,17.115774,16.830952,16.830952,16.720831,16.720831,17.424702,17.424702,17.424702,16.702379,16.702379,16.702379,16.647024,16.652678,16.652678,16.652678,16.900597,16.900597,16.900597,
384.0254,17.073135,16.936844,16.936844,17.051209,16.928176,16.928176,16.960082,16.960082,17.490021,17.490021,17.490021,16.780594,16.780594,16.780594,16.561188,16.740021,16.740021,16.740021,16.791229,16.791229,16.791229,
384.3070,17.069672,16.730533,16.730533,17.161373,16.850666,16.850666,17.064805,17.064805,17.483094,17.483094,17.483094,16.682633,16.682633,16.682633,16.533811,16.805328,16.805328,16.805328,16.882428,16.882428,16.882428,
384.5885,16.964066,16.580621,16.580621,17.307508,16.710305,16.710305,17.00906,17.00906,17.500308,17.500308,17.500308,16.571253,16.571253,16.571253,16.741247,16.84375,16.84375,16.84375,16.999692,16.999692,16.999692,
384.8701,16.830513,16.83579,16.83579,16.975118,17.024882,17.024882,16.958697,16.958697,17.521197,17.521197,17.521197,16.663119,16.663119,16.663119,16.96079,16.784434,16.784434,16.784434,16.860171,16.860171,16.860171,
385.1517,16.846112,17.145939,17.145939,16.811319,17.172465,17.172465,16.827535,16.827535,17.146803,17.146803,17.146803,16.876181,16.876181,16.876181,16.995276,16.751181,16.751181,16.751181,16.84375,16.84375,16.84375,
